"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.15.12.16","10.7.196.56","TLSv1","795","Application Data"
"2","0.001502","10.15.12.16","10.7.196.56","TLSv1","11483","Application Data"
"3","0.014497","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=4294958572 Win=41820 Len=0"
"4","0.014849","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=4294961292 Win=41820 Len=0"
"5","0.014850","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=4294964012 Win=42500 Len=0"
"6","0.018924","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=4294966732 Win=42160 Len=0"
"7","0.018925","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=742 Win=41833 Len=0"
"8","0.018925","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=3462 Win=42160 Len=0"
"9","0.018926","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=6182 Win=41480 Len=0"
"10","0.018927","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=8902 Win=41140 Len=0"
"11","0.018927","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=11622 Win=41140 Len=0"
"12","0.020050","10.13.24.139","10.13.24.138","UDP","60","1403  >  1403 Len=4"
"13","0.026956","10.15.12.16","10.7.196.56","TLSv1","9435","Application Data"
"14","0.028893","10.15.12.16","10.7.196.56","TLSv1","10635","Application Data"
"15","0.040387","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=13531 Win=40662 Len=0"
"16","0.040740","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=16251 Win=40800 Len=0"
"17","0.044916","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=18971 Win=40800 Len=0"
"18","0.044917","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=21552 Win=41820 Len=0"
"19","0.044918","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=24272 Win=41140 Len=0"
"20","0.044918","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=26992 Win=40800 Len=0"
"21","0.044919","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=29712 Win=40460 Len=0"
"22","0.044920","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=32133 Win=40194 Len=0"
"23","0.053726","ArtesynE_30:b0:03","Broadcast","ARP","60","Who has 10.13.24.8? Tell 10.13.24.10"
"24","0.061937","10.15.12.16","10.7.196.56","TLSv1","12955","Application Data"
"25","0.062421","10.15.12.16","10.7.196.56","TLSv1","11963","Application Data"
"26","0.066013","10.15.12.16","10.7.196.56","TLSv1","8283","Application Data"
"27","0.067416","10.15.12.16","10.7.196.56","TLSv1","14747","Application Data"
"28","0.067797","10.15.12.16","10.7.196.56","TLSv1","9899","Application Data"
"29","0.076483","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=34853 Win=40460 Len=0"
"30","0.076484","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=37573 Win=40460 Len=0"
"31","0.076866","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=40293 Win=41480 Len=0"
"32","0.080934","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=43013 Win=41480 Len=0"
"33","0.080935","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=45034 Win=41480 Len=0"
"34","0.080936","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=47754 Win=41140 Len=0"
"35","0.080937","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=50474 Win=40800 Len=0"
"36","0.080938","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=53194 Win=40120 Len=0"
"37","0.081605","10.15.12.16","10.7.196.56","TLSv1","13275","Application Data"
"38","0.084732","10.7.196.56","10.15.12.16","TCP","60","59759  >  3389 [ACK] Seq=1 Ack=55914 Win=39440 Len=0"
